kingdom,phylum,order,family,genus,species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,ids
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,NA,1,44,590,8633,2333712,NA,Sebastes
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes entomelas,1,44,590,8633,2333712,2335516,Sebastes entomelas
Animalia,Chordata,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,1,44,549,3703,2415629,2415676,Merluccius productus
Animalia,Chordata,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys stigmaeus,1,44,588,5082,2408301,2408737,Citharichthys stigmaeus
Animalia,Chordata,Perciformes,Stichaeidae,Xiphister,Xiphister mucosus,1,44,587,8598,2394808,2394809,Xiphister mucosus
Animalia,Chordata,Perciformes,Stichaeidae,Xiphister,Xiphister atropurpureus,1,44,587,8598,2394808,2394813,Xiphister atropurpureus
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka,1,44,1313,8615,2351426,5204039,Oncorhynchus nerka
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kawamurae,1,44,1313,8615,2351426,5961610,Oncorhynchus kawamurae
Animalia,Chordata,Perciformes,Cryptacanthodidae,Cryptacanthodes,Cryptacanthodes aleutensis,1,44,587,4264,2387403,2387413,Cryptacanthodes aleutensis
Animalia,Chordata,Perciformes,Pholidae,Pholis,Pholis laeta,1,44,587,8576,2390397,5210424,Pholis laeta
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,1,44,1313,8615,2351426,5204034,Oncorhynchus kisutch
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes cheni,1,44,590,8633,2333712,4286373,Sebastes cheni
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes alutus,1,44,590,8633,2333712,2335557,Sebastes alutus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes serriceps,1,44,590,8633,2333712,2335522,Sebastes serriceps
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes proriger,1,44,590,8633,2333712,2335489,Sebastes proriger
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes phillipsi,1,44,590,8633,2333712,2335550,Sebastes phillipsi
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes flavidus,1,44,590,8633,2333712,2335500,Sebastes flavidus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes brevispinis,1,44,590,8633,2333712,2335560,Sebastes brevispinis
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes helvomaculatus,1,44,590,8633,2333712,2335394,Sebastes helvomaculatus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes miniatus,1,44,590,8633,2333712,2335381,Sebastes miniatus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanostictus,1,44,590,8633,2333712,8416044,Sebastes melanostictus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes aleutianus,1,44,590,8633,2333712,2335422,Sebastes aleutianus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes rubrivinctus,1,44,590,8633,2333712,2335388,Sebastes rubrivinctus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes hubbsi,1,44,590,8633,2333712,2335535,Sebastes hubbsi
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes variegatus,1,44,590,8633,2333712,2335412,Sebastes variegatus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanops,1,44,590,8633,2333712,2335569,Sebastes melanops
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes pachycephalus,1,44,590,8633,2333712,4286366,Sebastes pachycephalus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes goodei,1,44,590,8633,2333712,2335531,Sebastes goodei
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes babcocki,1,44,590,8633,2333712,2335374,Sebastes babcocki
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes constellatus,1,44,590,8633,2333712,2335457,Sebastes constellatus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes baramenuke,1,44,590,8633,2333712,2335483,Sebastes baramenuke
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes joyneri,1,44,590,8633,2333712,2335451,Sebastes joyneri
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes ventricosus,1,44,590,8633,2333712,2335386,Sebastes ventricosus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes eos,1,44,590,8633,2333712,2335572,Sebastes eos
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes ovalis,1,44,590,8633,2333712,2335567,Sebastes ovalis
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes exsul,1,44,590,8633,2333712,2335547,Sebastes exsul
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes simulator,1,44,590,8633,2333712,2335424,Sebastes simulator
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes rosenblatti,1,44,590,8633,2333712,2335437,Sebastes rosenblatti
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes zacentrus,1,44,590,8633,2333712,2335429,Sebastes zacentrus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes elongatus,1,44,590,8633,2333712,2335441,Sebastes elongatus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes emphaeus,1,44,590,8633,2333712,2335372,Sebastes emphaeus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes rosaceus,1,44,590,8633,2333712,2335450,Sebastes rosaceus
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes wilsoni,1,44,590,8633,2333712,2335485,Sebastes wilsoni
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes ruberrimus,1,44,590,8633,2333712,2335415,Sebastes ruberrimus
Animalia,Chordata,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,1,44,590,5090,2335061,2335062,Anoplopoma fimbria
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus gorbuscha,1,44,1313,8615,2351426,5204037,Oncorhynchus gorbuscha
