LCT,n,gamma_detection_method,beta_detection_method,alpha_detection_method
Oncorhynchus kisutch,11,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Oncorhynchus kisutch,11,both eDNA/trawl,both eDNA/trawl,only trawl
Oncorhynchus mykiss,1,only eDNA,only eDNA,only eDNA
Oncorhynchus nerka,15,both eDNA/trawl,only eDNA,only eDNA
Oncorhynchus nerka,15,both eDNA/trawl,both eDNA/trawl,only eDNA
Oncorhynchus nerka,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Oncorhynchus tshawytscha,15,both eDNA/trawl,only eDNA,only eDNA
Oncorhynchus tshawytscha,15,both eDNA/trawl,both eDNA/trawl,only trawl
Oncorhynchus tshawytscha,15,both eDNA/trawl,both eDNA/trawl,only eDNA
Oncorhynchus tshawytscha,15,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Ophiodon elongatus,1,only eDNA,only eDNA,only eDNA
Parophrys vetulus,1,only trawl,only trawl,only trawl
Pholis laeta,11,only eDNA,only eDNA,only eDNA
Pholis laeta/ornata,2,only eDNA,only eDNA,only eDNA
Phytichthys chirus,6,only eDNA,only eDNA,only eDNA
Psettichthys melanostictus,1,only eDNA,only eDNA,only eDNA
Reinhardtius hippoglossoides,1,only trawl,only trawl,only trawl
Sebastes,16,both eDNA/trawl,both eDNA/trawl,only eDNA
Sebastes,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Sebastolobus alascanus/altivelis,1,only eDNA,only eDNA,only eDNA
Spirinchus starksi,1,only trawl,only trawl,only trawl
Squalus suckleyi,16,both eDNA/trawl,both eDNA/trawl,only eDNA
Squalus suckleyi,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Thaleichthys pacificus,16,both eDNA/trawl,both eDNA/trawl,only eDNA
Thaleichthys pacificus,16,both eDNA/trawl,both eDNA/trawl,both eDNA/trawl
Xiphister atropurpureus/mucosus,5,only eDNA,only eDNA,only eDNA
Zoarcidae,1,only trawl,only trawl,only trawl
